3.7899,0.69375
3.5575,0.72035
1.0388,0.27094
5.6824,1.0996
3.187,0.52072
0.98556,0.18289
0.49182,0.022478
1.0581,0.13747
0.98983,0.19063
1.0075,0.19305
2.1412,0.43427
6.0225,1.2202
2.57,0.60586
1.065,0.15007
7.8925,1.5245
8.0409,1.7832
8.8889,1.7931
4.5231,1.0218
4.3167,0.88043
9.6602,2.0688
2.5426,0.65598
6.3297,1.2828
5.4774,1.0639
2.1751,0.32538
2.2348,0.44596
4.3493,1.0032
0.80825,0.14051
1.9484,0.28587
4.9941,0.97529
15.308,3.3823
4.1508,0.88603
1.3457,0.48663
4.9047,1.0459
6.5771,1.4696
6.48,1.3897
2.9464,0.58754
2.8241,0.6002
0.9448,0.17366
0.68183,0.11357
9.4596,1.9112
0.6727,-0.022957
8.2032,1.7731
0.75393,0.1369
3.0801,0.6864
2.747,0.48204
0.79002,0.13152
1.878,0.36406
8.8643,2.0143
1.8078,0.39105
7.0299,1.55
0.81348,0.077186
6.5331,1.3799
5.2207,1.0383
14.001,2.7333
11.456,2.4204
13.934,3.0443
4.6631,0.97563
1.3002,0.1861
0.65597,0.083036
5.795,1.1836
1.4951,0.24217
1.2448,0.13274
2.1735,0.42311
8.9277,1.8921
0.95522,0.10996
7.4591,1.4485
3.0742,0.5895
2.0083,0.39582
3.1276,0.60645
0.69912,0.0894
1.8495,0.3433
1.8933,0.39442
2.1747,0.47036
1.7631,0.27021
2.0788,0.41899
1.5524,0.29229
2.5097,0.60031
1.6129,0.25156
0.81104,0.11143
1.4897,0.25382
6.7064,1.4457
4.4753,0.90764
1.4691,0.28012
1.3205,0.12598
6.9655,1.365
7.1822,1.4897
8.9563,1.9589
0.24241,-0.085497
0.85791,0.10952
5.7881,1.1776
4.6212,0.87309
2.3337,0.39565
13.732,2.8765
6.3874,1.5038
2.1949,0.50697
9.7482,1.9704
1.2734,0.20126
4.5882,0.95232
10.259,2.0841
0.8631,0.12269
1.5328,0.23267
1.9842,0.43799
1.4285,0.1631
8.5916,1.7249
8.2027,1.8913
1.2681,0.14714
0.97963,0.15298
0.57784,0.014863
2.4838,0.46697
2.119,0.42541
6.3323,1.2036
0.6793,0.05724
1.4444,0.28744
2.7076,0.42128
3.0204,0.64782
1.2157,0.16295
2.2286,0.47179
6.4116,1.2964
5.5399,0.96449
3.8385,0.62996
0.96071,0.137
1.6043,0.23361
6.713,1.4299
1.0837,0.22737
1.709,0.2676
1.0032,0.14985
1.0407,0.22537
2.0364,0.29269
1.0459,0.1486
1.2028,0.14143
0.77237,0.13621
0.71424,0.054632
1.7355,0.31158
1.4004,0.31596
3.7645,0.75285
0.48588,-0.070391
7.6143,1.657
0.82761,0.16586
3.6968,0.85556
0.8157,0.11016
3.1727,0.62473
8.2661,1.7795
4.0067,0.8297
3.8949,0.8427
1.9824,0.30641
2.6495,0.56486
0.68667,0.004307
3.5531,0.65492
2.8951,0.47252
1.604,0.2549
4.5363,0.89621
6.4975,1.3511
4.2512,0.90732
2.058,0.4477
1.9336,0.31183
8.612,1.8908
1.8012,0.30743
2.7099,0.51948
2.8909,0.51293
1.0469,0.14051
0.97268,0.099048
12.446,2.3398
4.4456,0.92581
1.4626,0.23376
1.0913,0.25418
7.1741,1.5711
5.3966,0.99877
0.9017,0.054562
0.72432,0.11612
0.58109,0.016484
3.3493,0.67929
4.9462,0.89422
0.78024,0.12483
0.63891,0.030029
2.0341,0.36086
0.8621,0.13684
1.1052,0.22284
1.1942,0.214
1.1762,0.14584
1.1115,0.1425
8.7198,1.7408
2.4645,0.52579
1.5726,0.2393
2.5944,0.68167
1.1365,0.14682
1.0999,0.20194
4.3838,0.86076
0.88997,0.13083
2.0933,0.44151
6.3096,1.3151
1.1167,0.25801
1.3342,0.30102
0.75516,0.084736
1.5491,0.34974
4.6658,0.91715
1.9331,0.41046
7.1196,1.5221
1.6864,0.26221
1.5962,0.367
2.3739,0.47529
3.1375,0.66371
1.0197,0.2353
1.9144,0.33016
1.3433,0.21562
5.3802,1.0481
4.9597,1.0308
6.735,1.3305
1.9182,0.33828
1.889,0.24858
7.4822,1.6473
5.0675,0.97055
1.8482,0.28882
8.4403,2.0367
1.9657,0.40946
5.2828,1.1807
3.9359,0.77243
1.9224,0.42242
0.83043,0.060661
4.6349,0.93725
1.4278,0.20918
2.022,0.32637
1.5782,0.31587
1.7792,0.23899
4.5764,0.99087
8.1564,1.6972
1.487,0.21938
2.4914,0.52865
1.3925,0.29686
4.5328,1.0238
1.4868,0.21743
3.5437,0.70375
6.9892,1.4061
0.91258,0.15328
4.6281,1.0414
2.8249,0.59317
4.0026,0.79849
1.0892,0.21171
0.68656,0.1319
0.97636,0.16985
4.1984,0.88361
0.82824,0.096504
1.0696,0.18643
0.93859,0.12634
1.4157,0.24906
1.0047,0.14475
0.72644,0.043702
8.0272,1.5699
1.3669,0.24495
5.9931,1.2198
0.76118,0.1299
5.7426,1.1848
5.7538,1.2859
0.7377,0.07243
0.66161,0.13129
8.0264,1.7117
1.6546,0.31027
2.4626,0.49414
0.81705,0.1385
2.0126,0.45417
16.88,3.7996
0.78151,0.058723
7.7089,1.721
1.3269,0.2059
5.6883,1.1344
0.32015,-0.081666
