1.7546,0.37964
3.5984,0.77793
3.3865,0.70432
13.146,2.7798
1.9961,0.38745
4.0036,0.85054
3.5724,0.77675
1.2488,0.21551
5.1728,1.0754
5.3,1.096
5.2748,0.93766
1.1195,0.29729
4.7544,0.95581
2.3409,0.53767
5.0527,1.1769
19.892,4.5976
5.1225,1.1371
0.82866,0.11357
6.1526,1.2441
5.0327,0.93047
1.1012,0.21788
0.91743,0.16726
1.141,0.22699
0.82106,0.16932
2.1614,0.39045
5.9585,1.3128
8.3964,1.7721
1.5992,0.35737
2.512,0.72614
1.015,0.17471
5.1637,1.1591
1.4641,0.33678
6.8023,1.3388
2.9533,0.85132
1.1285,0.13095
2.828,0.55471
10.723,2.2761
0.91563,0.21073
8.2735,1.7643
7.1457,1.5109
1.4768,0.27639
0.93444,0.17255
1.246,0.2299
8.9421,1.8937
1.2155,0.20402
3.2881,0.65775
3.6418,0.79463
1.2317,0.2241
0.80858,0.11836
1.0449,0.25946
1.6638,0.30188
1.7109,0.32064
3.8271,0.70246
4.0749,0.86545
1.8448,0.33387
0.88608,0.15684
8.1538,1.6684
10.779,2.4807
2.142,0.45182
2.2718,0.55129
0.66276,0.064777
3.0746,0.69748
8.0866,1.7402
0.63085,0.10888
8.0764,1.7797
4.8811,1.0022
6.7581,1.4987
6.6528,1.4585
2.9646,0.57866
1.5529,0.34828
7.308,1.4697
1.2236,0.22727
1.4853,0.31126
0.98321,0.16891
1.9849,0.38759
2.0194,0.43241
2.4148,0.46896
0.82108,0.12417
1.6461,0.36895
6.2264,1.3501
6.1213,1.3844
4.2388,0.83239
1.3547,0.28839
3.7893,0.91909
2.6698,0.50778
1.0292,0.20871
1.0963,0.18518
2.2643,0.50051
7.6309,1.5767
0.47558,0.046174
15.159,3.3554
0.93563,0.14028
5.4287,1.1874
0.68453,0.10462
5.1367,1.1515
0.93177,0.13891
3.4197,0.83702
1.4148,0.21677
1.3795,0.2097
7.1325,1.5535
2.9013,0.55551
3.7365,0.85756
4.1203,0.76694
1.6946,0.3408
1.0368,0.14866
13.45,2.7713
0.67748,0.1151
1.3467,0.16475
3.1269,0.59942
0.92619,0.14525
9.6831,1.8621
1.459,0.37731
1.0143,0.17055
1.2249,0.22311
0.82853,0.20895
1.5859,0.32659
0.67093,0.082107
1.6424,0.28031
0.77092,0.13212
2.0024,0.38392
1.2431,0.32982
3.4374,0.72826
0.7866,0.12603
2.5534,0.59476
6.3643,1.4422
3.15,0.63686
3.7211,0.714
1.9607,0.36999
0.57797,0.069123
4.8446,0.99049
2.1633,0.55532
9.5364,2.1828
7.273,1.4112
2.1515,0.47662
6.0319,1.3916
1.9489,0.43936
6.0104,1.3817
3.4577,0.80656
2.8006,0.54025
1.4572,0.25913
0.85918,0.09684
0.88871,0.17823
2.0087,0.48848
2.1806,0.41129
2.8703,0.69635
5.1382,1.0483
3.7406,0.73287
1.5428,0.38076
2.4609,0.59186
1.5137,0.33712
0.86193,0.18811
0.62414,0.0017035
2.6557,0.64815
2.9952,1.3236
3.8416,0.69463
6.1605,1.2601
1.5182,0.33119
7.2962,1.5643
0.57614,0.040871
2.5626,0.51003
2.9618,0.67995
10.921,2.455
1.9151,0.48386
2.0932,0.36741
1.7623,0.29844
3.4421,0.59309
2.0521,0.4309
3.4799,0.82628
1.5634,0.38768
1.5114,0.29193
1.0196,0.13764
0.81364,0.085863
8.5029,2.0783
4.6619,0.9435
1.6531,0.34177
1.418,0.24393
3.3183,0.81678
5.0381,1.123
0.97186,0.15139
1.3884,0.23564
1.0415,0.1474
1.8844,0.43284
1.2179,0.15925
3.2878,0.63435
2.0236,0.30918
1.0237,0.16922
2.668,0.60701
2.3255,0.43904
0.8739,0.18069
4.7288,1.1613
4.055,0.86437
7.1466,1.3916
2.2652,0.47785
2.0745,0.48423
1.5141,0.30033
2.3354,0.43989
2.6066,0.62305
0.96907,0.18708
1.0677,0.20168
7.8935,1.6779
8.4083,1.6163
0.65397,0.12558
0.67814,0.070292
2.5888,0.59106
2.7551,0.53736
2.8921,0.63343
1.0322,0.075627
4.4539,0.92062
2.7426,0.60691
3.4705,0.7086
8.8615,2.0218
8.1208,1.7888
4.8852,1.195
0.99628,0.19998
1.8151,0.46193
5.2859,1.2276
8.3194,1.8265
1.7713,0.37058
4.6439,1.0419
1.317,0.29569
0.71831,0.15502
1.5331,0.32489
4.3247,0.91774
1.9574,0.22559
1.297,0.22986
17.223,3.8096
1.9422,0.38297
3.0421,0.70476
2.3505,0.57387
1.9714,0.44206
3.7672,0.80536
1.9171,0.29963
2.8024,0.54169
2.2934,0.50857
8.7093,1.8357
