source_e(MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time(s)  cells_history	
2.19737	3312	0.422644	1	no	0.353898	6.49588e-09	4	1
2.42506	3396	0.203864	1	no	0.402426	7.76744e-09	4	1
1.91228	3402	0.226082	1	no	0.356934	1.19189e-08	4	1
2.69683	3439	0.235663	1	no	0.342505	6.81939e-09	4	1
2.40274	3481	0.15152	1	no	0.301504	6.76789e-09	4	1
2.66482	3515	0.227465	1	no	0.377365	5.69623e-09	4	1
2.45912	3519	0.139486	1	no	0.319	8.15506e-09	4	1
2.30436	3525	0.422585	1	no	0.364499	6.65958e-09	4	1
2.76044	3553	0.511266	1	no	0.310036	7.35847e-09	4	1
2.03709	3556	0.236306	1	no	0.34965	8.35807e-09	4	1
2.41635	3634	0.513135	1	no	0.37103	6.59724e-09	4	1
2.14437	3661	0.0769576	1	no	0.32996	1.1617e-08	4	1
3.21601	3734	0.0272623	1	no	0.231429	5.46898e-09	4	1
2.68678	3756	0.337059	1	no	0.354844	8.87904e-09	4	1
2.33982	3771	0.4405	1	no	0.342514	5.86527e-09	4	1
3.05491	3784	0.0527526	1	no	0.191584	7.24476e-09	4	1
2.54433	3792	0.270851	1	no	0.364225	1.14486e-08	4	1
2.34641	3806	0.210114	1	no	0.42354	6.87844e-09	4	1
2.79263	3881	0.235761	1	no	0.331792	8.69723e-09	4	1
2.25486	3882	0.372189	1	no	0.333438	7.08287e-09	4	1
2.54467	3979	0.343466	1	no	0.387289	6.28854e-09	4	1
1.98038	4083	0.133079	1	no	0.320018	7.36483e-09	4	1
2.67848	4133	0.409168	1	no	0.365601	9.80633e-09	4	1
2.56511	4168	0.1929	1	no	0.342419	7.83646e-09	4	1
2.40543	4199	0.0565693	1	no	0.257143	6.34034e-09	4	1
2.221	4207	0.181431	1	no	0.409896	7.25603e-09	4	1
2.68252	4210	0.362024	1	no	0.358614	8.54026e-09	4	1
2.7553	4256	0.264503	1	no	0.360892	7.5639e-09	4	1
2.46259	4258	0.33521	1	no	0.353143	1.00874e-08	4	1
2.54963	4264	0.296906	1	no	0.370696	7.9542e-09	4	1
2.37599	4391	0.360018	1	no	0.333838	8.7652e-09	4	1
2.71629	4473	0.616537	1	no	0.356432	5.73887e-09	4	1
2.70524	4518	0.393804	1	no	0.339168	6.46477e-09	4	1
2.47885	4584	0.0609702	1	no	0.290003	8.28015e-09	4	1
2.22921	4594	0.325609	1	no	0.394713	8.54196e-09	4	1
2.09828	4636	0.254221	1	no	0.365301	8.08814e-09	4	1
2.41529	4697	0.390007	1	no	0.37847	6.04668e-09	4	1
2.68971	4705	0.357487	1	no	0.366707	6.11606e-09	4	1
2.08383	4737	0.187837	1	no	0.385756	6.81243e-09	4	1
2.73598	4775	0.00886025	1	no	0.142857	9.53008e-09	4	1
2.13735	4810	0.201235	1	no	0.41078	6.69215e-09	4	1
2.12051	4828	0.0457033	1	no	0.373669	6.46257e-09	4	1
2.38157	4836	0.317216	1	no	0.3407	7.19902e-09	4	1
2.59715	4861	0.409227	1	no	0.385867	7.73593e-09	4	1
2.41581	4888	0.174459	1	no	0.371582	1.17344e-08	4	1
2.2583	4905	0.124725	1	no	0.371741	1.00553e-08	4	1
2.42704	4988	0.0425292	1	no	0.266941	6.88876e-09	4	1
2.92151	5007	0.442273	1	no	0.349639	5.92339e-09	4	1
2.78501	5037	0.414309	1	no	0.394905	5.33771e-09	4	1
2.59115	5091	0.137499	1	no	0.295709	6.23006e-09	4	1
1.93833	5114	0.157888	1	no	0.410459	8.67001e-09	4	1
2.8218	5159	0.368956	1	no	0.37948	5.93929e-09	4	1
2.02108	5200	0.147781	1	no	0.370009	8.5184e-09	4	1
2.52674	5251	0.220961	1	no	0.394113	7.9832e-09	4	1
1.8955	5253	0.233112	1	no	0.36814	8.52702e-09	4	1
1.91581	5275	0.176932	1	no	0.391371	1.04988e-08	4	1
2.29544	5354	0.0559656	1	no	0.306193	5.9804e-09	4	1
2.30091	5377	0.32559	1	no	0.367225	6.22369e-09	4	1
2.60899	5420	0.424474	1	no	0.382466	6.02413e-09	4	1
2.81042	5471	0.478025	1	no	0.418364	6.62255e-09	4	1
2.12273	5503	0.0304559	1	no	0.248082	7.87915e-09	4	1
3.04092	5508	0.259907	1	no	0.386754	6.30173e-09	4	1
2.73787	5521	0.0146048	1	no	0	6.34366e-09	4	1
2.63117	5564	0.106245	1	no	0.346408	7.71789e-09	4	1
3.05102	5570	0.527156	1	no	0.364782	6.39896e-09	4	1
2.73378	5573	0.120305	1	no	0.343153	6.8066e-09	4	1
2.56613	5596	0.59537	1	no	0.373291	6.50609e-09	4	1
2.35874	5641	0.184021	1	no	0.369524	1.24236e-08	4	1
2.38937	5642	0.54955	1	no	0.38606	6.30095e-09	4	1
2.58177	5651	0.215879	1	no	0.379668	5.88193e-09	4	1
2.54277	5686	0.0903745	1	no	0.316311	8.27702e-09	4	1
2.53744	5735	0.54252	1	no	0.343862	6.77347e-09	4	1
2.19734	5785	0.287306	1	no	0.402942	7.04914e-09	4	1
2.62123	5967	0.599323	1	no	0.344348	6.02147e-09	4	1
2.34913	6003	0.386248	1	no	0.344442	1.03169e-08	4	1
1.85183	6067	0.230581	1	no	0.325226	6.92374e-09	4	1
2.87349	6077	0.436567	1	no	0.3952	7.97391e-09	4	1
2.7804	6119	0.240142	1	no	0.35493	5.90303e-09	4	1
3.15745	6189	0.189843	1	no	0.334906	7.07703e-09	4	1
2.22289	6198	0.287345	1	no	0.389672	9.25486e-09	4	1
2.28269	6256	0.308434	1	no	0.358987	6.28796e-09	4	1
1.86295	6334	0.20435	1	no	0.354202	8.35921e-09	4	1
1.75502	6391	0.238896	1	no	0.388816	7.20068e-09	4	1
2.94871	6395	0.255506	1	no	0.348525	9.34259e-09	4	1
1.97484	6481	0.317411	1	no	0.355031	7.4104e-09	4	1
2.5123	6542	0.372208	1	no	0.393324	7.83973e-09	4	1
2.74454	6561	0.595506	1	no	0.376476	5.78349e-09	4	1
2.00842	6563	0.0508247	1	no	0.198851	9.47966e-09	4	1
2.28351	6577	0.0846495	1	no	0.299747	8.18022e-09	4	1
3.00981	6598	0.599128	1	no	0.398479	7.49443e-09	4	1
2.27188	6625	0.246529	1	no	0.319589	6.75577e-09	4	1
2.08684	6630	0.152786	1	no	0.345144	7.53381e-09	4	1
1.74402	6641	0.0787881	1	no	0.418438	9.24392e-09	4	1
2.63614	6654	0.439838	1	no	0.398194	6.08188e-09	4	1
2.86693	6773	0.466633	1	no	0.36982	7.09555e-09	4	1
2.43832	6774	0.26758	1	no	0.37792	8.16289e-09	4	1
2.71099	6815	0.289974	1	no	0.390706	5.89155e-09	4	1
2.60257	6817	0.481842	1	no	0.388377	7.24675e-09	4	1
2.42329	6847	0.326174	1	no	0.421313	6.80713e-09	4	1
2.25097	6914	0.0285475	1	no	0.221692	9.32361e-09	4	1
2.58437	6922	0.473098	1	no	0.385059	5.7082e-09	4	1
2.72498	6944	0.20067	1	no	0.345463	1.0442e-08	4	1
2.50341	6960	0.215294	1	no	0.327786	1.11647e-08	4	1
2.36305	7005	0.257317	1	no	0.395414	7.25113e-09	4	1
2.39326	7090	0.15853	1	no	0.457069	7.55933e-09	4	1
2.51091	7180	0.0718167	1	no	0.2641	7.86141e-09	4	1
2.50558	7247	0.0769381	1	no	0.33713	6.99648e-09	4	1
2.29444	7275	0.264308	1	no	0.367863	6.87475e-09	4	1
2.14045	7297	0.235624	1	no	0.358512	7.10096e-09	4	1
1.91698	7328	0.273344	1	no	0.367742	7.21991e-09	4	1
2.69567	7372	0.0139427	1	no	0.0907821	6.33961e-09	4	1
2.99614	7387	0.193037	1	no	0.336023	1.09689e-08	4	1
2.82714	7390	0.33262	1	no	0.371056	7.02568e-09	4	1
2.23687	7410	0.234358	1	no	0.306356	6.67914e-09	4	1
2.31672	7413	0.0197068	1	no	0.0968379	1.10424e-08	4	1
1.73985	7434	0.196834	1	no	0.335873	1.12914e-08	4	1
