source_e (MeV)	NPS	det_pulse (MeVee)	det_cell	corr_count	PSD	time (s)	cells_history
2.4687	3195	0.364189	1	no	0.391198	6.39343e-09	4	1
2.19737	3312	0.421534	1	no	0.369635	6.49588e-09	4	1
2.42506	3396	0.22452	1	no	0.409981	7.76744e-09	4	1
1.91228	3402	0.221427	1	no	0.418958	1.19189e-08	4	1
2.69683	3439	0.267218	1	no	0.358594	6.81939e-09	4	1
2.40274	3481	0.156456	1	no	0.369017	6.76789e-09	4	1
2.66482	3515	0.223392	1	no	0.415448	5.69623e-09	4	1
2.45912	3519	0.155133	1	no	0.355486	8.15506e-09	4	1
2.30436	3525	0.422137	1	no	0.399244	6.65958e-09	4	1
2.76044	3553	0.500414	1	no	0.353236	7.35847e-09	4	1
2.03709	3556	0.229091	1	no	0.377261	8.35807e-09	4	1
2.41635	3634	0.518388	1	no	0.325115	6.59724e-09	4	1
2.14437	3661	0.0838984	1	no	0.355205	1.1617e-08	4	1
3.21601	3734	0.025366	1	no	0.0736196	5.46898e-09	4	1
2.68678	3756	0.373759	1	no	0.343552	8.87904e-09	4	1
2.33982	3771	0.466139	1	no	0.397196	5.86527e-09	4	1
3.05491	3784	0.0730244	1	no	0.172083	7.24476e-09	4	1
2.54433	3792	0.276205	1	no	0.3427	1.14486e-08	4	1
2.34641	3806	0.167233	1	no	0.329766	6.87844e-09	4	1
2.79263	3881	0.246832	1	no	0.411616	8.69723e-09	4	1
2.25486	3882	0.386403	1	no	0.385018	7.08287e-09	4	1
2.54467	3979	0.374421	1	no	0.332814	6.28854e-09	4	1
1.98038	4083	0.115042	1	no	0.369293	7.36483e-09	4	1
2.67848	4133	0.41708	1	no	0.315517	9.80633e-09	4	1
2.56511	4168	0.220046	1	no	0.380658	7.83646e-09	4	1
2.40543	4199	0.0602831	1	no	0.282672	6.34034e-09	4	1
2.221	4207	0.183884	1	no	0.335237	7.25603e-09	4	1
2.68252	4210	0.369888	1	no	0.34031	8.54026e-09	4	1
2.7553	4256	0.236055	1	no	0.371323	7.5639e-09	4	1
2.46259	4258	0.38899	1	no	0.356203	1.00874e-08	4	1
2.54963	4264	0.298537	1	no	0.338307	7.9542e-09	4	1
2.37599	4391	0.38652	1	no	0.370206	8.7652e-09	4	1
2.71629	4473	0.586588	1	no	0.34704	5.73887e-09	4	1
2.70524	4518	0.382688	1	no	0.358918	6.46477e-09	4	1
2.47885	4584	0.0685504	1	no	0.286039	8.28015e-09	4	1
2.22921	4594	0.282663	1	no	0.328333	8.54196e-09	4	1
2.09828	4636	0.274299	1	no	0.324303	8.08814e-09	4	1
2.41529	4697	0.409435	1	no	0.397805	6.04668e-09	4	1
2.68971	4705	0.401751	1	no	0.354476	6.11606e-09	4	1
2.08383	4737	0.185148	1	no	0.346501	6.81243e-09	4	1
2.13735	4810	0.248797	1	no	0.352385	6.69215e-09	4	1
