Time,EDWRG Pressure (Torr),CCPG Pressure (Torr),smoothed_pressure
2023-08-31 13:14:00,0.0002085158009572,3.4670353391631588e-12,0.0002085158009572
2023-08-31 13:14:01,0.0002063558408357,3.4668687684869736e-12,0.00020743582089645
2023-08-31 13:14:02,0.0002030938003345,3.4668449733293882e-12,0.00020598848070913335
2023-08-31 13:14:03,0.000203166563365,3.467320907513504e-12,0.0002052830013731
2023-08-31 13:14:04,0.000198964520026,3.4670115428623008e-12,0.00020401930510367998
2023-08-31 13:14:05,0.0001983988452756,3.466892563807881e-12,0.00020199591396736
2023-08-31 13:14:06,0.0001973551816599,3.466916359292124e-12,0.0002001957821322
2023-08-31 13:14:07,0.0001990235115455,3.467725502940901e-12,0.0001993817243744
2023-08-31 13:14:08,0.0001960698227345,3.467392303276222e-12,0.00019796237624829997
2023-08-31 13:14:09,0.0001943422159794,3.467154323117437e-12,0.00019703791543898
2023-08-31 13:14:10,0.0001925917653319,3.467487499913371e-12,0.00019587649945024
2023-08-31 13:14:11,0.0001942894116962,3.4671067290457265e-12,0.0001952633454575
2023-08-31 13:14:12,0.0001933628788394,3.4668687684869736e-12,0.00019413121891628
2023-08-31 13:14:13,0.0001912181153987,3.4664880655633097e-12,0.00019316087744911998
2023-08-31 13:14:14,0.0001891041488092,3.4672733111550826e-12,0.00019211326401508
2023-08-31 13:14:15,0.0001884943172868,3.466916359292124e-12,0.00019129377440606002
2023-08-31 13:14:16,0.0001857840735689,3.4666070307358988e-12,0.00018959270678059999
2023-08-31 13:14:17,0.0001841175291132,3.467059135627361e-12,0.00018774363683535998
2023-08-31 13:14:18,0.0001880292345129,3.466797383504162e-12,0.0001871058606582
2023-08-31 13:14:19,0.0001857106541472,3.4672733111550826e-12,0.00018642716172579998
2023-08-31 13:14:20,0.0001840743239046,3.4665594441769415e-12,0.00018554316304936
2023-08-31 13:14:21,0.000184600296673,3.4664166884194082e-12,0.00018530640767018
2023-08-31 13:14:22,0.000181591299292,3.467154323117437e-12,0.00018480116170594001
2023-08-31 13:14:23,0.0001784692475776,3.4669401549396765e-12,0.00018288916431888
2023-08-31 13:14:24,0.0001776006076772,3.466725999991212e-12,0.00018126715502488002
2023-08-31 13:14:25,0.0001760009495836,3.4674399012680997e-12,0.00017965248016068002
2023-08-31 13:14:26,0.0001747240494111,3.466892563807881e-12,0.00017767723070829998
2023-08-31 13:14:27,0.0001760368237271,3.467201917842486e-12,0.00017656633559532
2023-08-31 13:14:28,0.0001744027738469,3.4672971092526225e-12,0.00017575304084918
2023-08-31 13:14:29,0.0001742875607082,3.467320907513504e-12,0.00017509043145537997
2023-08-31 13:14:30,0.0001712635771666,3.4671067290457265e-12,0.00017414295697198
2023-08-31 13:14:31,0.0001706638411176,3.4669877467247718e-12,0.00017333091531328
2023-08-31 13:14:32,0.0001682349054996,3.4668211783351085e-12,0.00017177053166778
2023-08-31 13:14:33,0.0001682556872086,3.467201917842486e-12,0.00017054111434012
2023-08-31 13:14:34,0.0001697314793606,3.4667735888365197e-12,0.00016962989807059998
2023-08-31 13:14:35,0.0001696811701394,3.4669401549396765e-12,0.00016931341666516
2023-08-31 13:14:36,0.0001679089689601,3.466963950750554e-12,0.00016876244223366002
2023-08-31 13:14:37,0.0001656245666289,3.4667735888365197e-12,0.00016824037445952
2023-08-31 13:14:38,0.0001629772071154,3.467082932254878e-12,0.00016718467844088
2023-08-31 13:14:39,0.0001623032098207,3.4669877467247718e-12,0.00016569902453290002
2023-08-31 13:14:40,0.0001638299647942,3.4670115428623008e-12,0.00016452878346386
2023-08-31 13:14:41,0.0001637419604214,3.467059135627361e-12,0.00016369538175612
2023-08-31 13:14:42,0.0001622981979629,3.467082932254878e-12,0.00016303010802291997
2023-08-31 13:14:43,0.0001604335835914,3.467249513220869e-12,0.00016252138331812
2023-08-31 13:14:44,0.000159273560489,3.4669877467247718e-12,0.00016191545345178
2023-08-31 13:14:45,0.0001594182265022,3.4669401549396765e-12,0.00016103310579338
