exp_num,start_time,stop_time,elapsed_s
0082,2022-07-30 14:36:36.759195,2022-07-30 14:37:23.053843,46.29
0083,2022-07-30 14:37:51.414465,2022-07-30 14:38:39.525217,48.11
0084,2022-07-30 14:39:07.735830,2022-07-30 14:39:55.269549,47.53
0085,2022-07-30 14:40:23.468162,2022-07-30 14:41:10.594858,47.13
0086,2022-07-30 14:41:38.828472,2022-07-30 14:42:27.196239,48.37
0087,2022-07-30 14:42:55.376851,2022-07-30 14:43:42.179528,46.80
0088,2022-07-30 14:44:10.514148,2022-07-30 14:44:57.845856,47.33
0089,2022-07-30 14:45:26.210478,2022-07-30 14:46:13.518184,47.31
0090,2022-07-30 14:46:41.840804,2022-07-30 14:47:29.269517,47.43
0091,2022-07-30 14:47:57.563135,2022-07-30 14:48:45.140856,47.58
0092,2022-07-30 14:49:13.568482,2022-07-30 14:50:02.231265,48.66
0093,2022-07-30 14:50:30.606888,2022-07-30 14:51:18.748642,48.14
0094,2022-07-30 14:51:47.023259,2022-07-30 14:52:33.267904,46.24
0095,2022-07-30 14:53:01.549522,2022-07-30 14:53:49.799282,48.25
0096,2022-07-30 14:54:18.012895,2022-07-30 14:55:05.698623,47.69
0097,2022-07-30 14:55:33.923237,2022-07-30 14:56:20.868922,46.95
0098,2022-07-30 14:56:49.059535,2022-07-30 14:57:35.866212,46.81
0099,2022-07-30 14:58:04.087826,2022-07-30 14:58:52.441592,48.35
0100,2022-07-30 14:59:20.642205,2022-07-30 15:00:07.406880,46.76
0101,2022-07-30 15:00:35.657495,2022-07-30 15:01:22.693186,47.04
0102,2022-07-30 15:01:50.907799,2022-07-30 15:02:38.235506,47.33
0103,2022-07-30 15:03:06.469121,2022-07-30 15:03:54.833888,48.36
0104,2022-07-30 15:04:23.037501,2022-07-30 15:05:09.813176,46.78
0105,2022-07-30 15:05:38.076793,2022-07-30 15:06:26.946588,48.87
0106,2022-07-30 15:06:55.343212,2022-07-30 15:07:41.943878,46.60
0107,2022-07-30 15:08:10.204494,2022-07-30 15:08:56.708154,46.50
0108,2022-07-30 15:09:24.701755,2022-07-30 15:10:11.348423,46.65
0109,2022-07-30 15:10:39.608039,2022-07-30 15:11:26.257708,46.65
0110,2022-07-30 15:11:54.405318,2022-07-30 15:12:40.365946,45.96
0111,2022-07-30 15:13:08.585560,2022-07-30 15:13:55.611250,47.03
0112,2022-07-30 15:14:23.704857,2022-07-30 15:15:11.260577,47.56
0113,2022-07-30 15:15:39.505192,2022-07-30 15:16:27.557941,48.05
0114,2022-07-30 15:16:55.847559,2022-07-30 15:17:42.851247,47.00
0115,2022-07-30 15:18:11.080862,2022-07-30 15:18:58.130553,47.05
0116,2022-07-30 15:19:26.399170,2022-07-30 15:20:14.094898,47.70
0117,2022-07-30 15:20:42.329513,2022-07-30 15:21:29.805228,47.48
0118,2022-07-30 15:21:58.101847,2022-07-30 15:22:45.472556,47.37
0119,2022-07-30 15:23:13.712172,2022-07-30 15:24:00.479847,46.77
0120,2022-07-30 15:24:28.763464,2022-07-30 15:25:16.325185,47.56
0121,2022-07-30 15:25:44.455794,2022-07-30 15:26:31.610491,47.15
0122,2022-07-30 15:26:59.929111,2022-07-30 15:27:47.145811,47.22
0123,2022-07-30 15:28:15.356425,2022-07-30 15:29:01.773080,46.42
0124,2022-07-30 15:29:30.025696,2022-07-30 15:30:17.273398,47.25
0125,2022-07-30 15:30:45.531014,2022-07-30 15:31:33.705770,48.17
0126,2022-07-30 15:32:01.971386,2022-07-30 15:32:49.812123,47.84
0127,2022-07-30 15:33:17.909730,2022-07-30 15:34:05.352443,47.44
0128,2022-07-30 15:34:33.663063,2022-07-30 15:35:20.462739,46.80
0129,2022-07-30 15:35:48.712355,2022-07-30 15:36:36.549091,47.84
0130,2022-07-30 15:37:04.846710,2022-07-30 15:37:52.424431,47.58
0131,2022-07-30 15:38:20.496037,2022-07-30 15:39:08.493782,48.00
0132,2022-07-30 15:39:36.857404,2022-07-30 15:40:23.797089,46.94
0133,2022-07-30 15:40:51.845693,2022-07-30 15:41:38.482361,46.64
0134,2022-07-30 15:42:06.611970,2022-07-30 15:42:54.596714,47.98
0135,2022-07-30 15:43:22.877332,2022-07-30 15:44:10.982083,48.10
0136,2022-07-30 15:44:39.187697,2022-07-30 15:45:26.781419,47.59
0137,2022-07-30 15:45:55.008033,2022-07-30 15:46:42.193732,47.19
0138,2022-07-30 15:47:10.356343,2022-07-30 15:47:58.705108,48.35
0139,2022-07-30 15:48:26.804716,2022-07-30 15:49:14.346435,47.54
0140,2022-07-30 15:49:42.559048,2022-07-30 15:50:30.156771,47.60
0141,2022-07-30 15:50:58.436388,2022-07-30 15:51:46.129116,47.69
0142,2022-07-30 15:52:14.295727,2022-07-30 15:53:02.060459,47.76
0143,2022-07-30 15:53:30.229070,2022-07-30 15:54:17.943800,47.71
0144,2022-07-30 15:54:46.251419,2022-07-30 15:55:34.514179,48.26
0145,2022-07-30 15:56:02.838799,2022-07-30 15:56:49.558471,46.72
0146,2022-07-30 15:57:17.804087,2022-07-30 15:58:04.169739,46.37
0147,2022-07-30 15:58:32.439356,2022-07-30 15:59:19.706059,47.27
0148,2022-07-30 15:59:48.034680,2022-07-30 16:00:33.955306,45.92
0149,2022-07-30 16:01:02.248925,2022-07-30 16:01:48.395564,46.15
0150,2022-07-30 16:02:16.253157,2022-07-30 16:03:04.634925,48.38
0151,2022-07-30 16:03:32.744532,2022-07-30 16:04:20.044238,47.30
0152,2022-07-30 16:04:48.301854,2022-07-30 16:05:36.767626,48.47
0153,2022-07-30 16:06:05.012242,2022-07-30 16:06:52.121936,47.11
0154,2022-07-30 16:07:20.269546,2022-07-30 16:08:08.260291,47.99
0155,2022-07-30 16:08:36.434902,2022-07-30 16:09:25.005681,48.57
0156,2022-07-30 16:09:53.234295,2022-07-30 16:10:40.833018,47.60
0157,2022-07-30 16:11:08.997629,2022-07-30 16:11:56.805363,47.81
0158,2022-07-30 16:12:25.066979,2022-07-30 16:13:12.886715,47.82
0159,2022-07-30 16:13:41.151331,2022-07-30 16:14:28.903062,47.75
0160,2022-07-30 16:14:57.117676,2022-07-30 16:15:44.851406,47.73
0161,2022-07-30 16:16:13.126024,2022-07-30 16:16:59.816694,46.69
0162,2022-07-30 16:17:27.914301,2022-07-30 16:18:15.562027,47.65
0163,2022-07-30 16:18:43.815643,2022-07-30 16:19:31.466368,47.65
0164,2022-07-30 16:19:59.635979,2022-07-30 16:20:47.854737,48.22
0165,2022-07-30 16:21:16.089352,2022-07-30 16:22:03.961090,47.87
0166,2022-07-30 16:22:32.216706,2022-07-30 16:23:20.825487,48.61
0167,2022-07-30 16:23:49.129106,2022-07-30 16:24:36.820833,47.69
0168,2022-07-30 16:25:05.109451,2022-07-30 16:25:52.991190,47.88
0169,2022-07-30 16:26:21.256807,2022-07-30 16:27:09.549569,48.29
